name,Docking_Score_kcal_mol,drug_class,drugbank_id,smiles,MW,LogP,LogS,WS_mg_mL,HBA,HBD,PSA,RBC,NOR,AromRings,Polarizability_alpha,Fraction_Csp3,HeavyAtoms,E_ads_kcal_mol,E_HOMO,E_LUMO,Gap_eV,IP_eV,EA_eV,Hardness_eta,Softness_S,Electronegativity_chi,Chemical_Potential_mu,Electrophilicity_omega
Idarubicin,-12.998,Anthracycline,DB00642,CC(=O)[C@@]1(O)Cc2c(O)c3C(=O)c4ccccc4C(=O)c3c(O)c2C[C@@H]1O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,1434.9,0.5,-3.288,0.2562,12,6,213.91,3,43,8,49.124,0.423,111,-48.79,-5.8966,-3.1863,2.7103,5.8966,3.1863,1.3551,0.369,4.5414,-4.5414,7.6099
Talazoparib,-12.596,PARP Inhibitor,DB11760,FC(F)(c1ccc(cc1)[C@H]1c2cc(F)ccc2N[C@@H]2C(=O)NN=C12)F,1286.687,3.256,-4.346,0.0157,5,3,90.79,1,42,8,32.773,0.176,100,-39.61,-5.6717,-3.28,2.3916,5.6717,3.28,1.1958,0.4181,4.4759,-4.4759,8.3764
Rucaparib,-10.879,PARP Inhibitor,DB12331,CNCc1ccc(-c2cc3[nH]c2CCNC(=O)c2cccc(F)c2-3)cc1,1286.809,3.493,-4.493,0.0112,4,4,94.22,3,42,9,39.808,0.19,101,-40.06,-5.5562,-3.2978,2.2584,5.5562,3.2978,1.1292,0.4428,4.427,-4.427,8.6782
Ribociclib,-12.555,CDK4/6 Inhibitor,DB09075,CN(C)C(=O)c1cnc(Nc2ccc(N3CCN(C)CC3)cn2)nc1N1CCCC1,1347.926,1.669,-3.403,0.1624,10,2,118.03,5,42,8,47.063,0.524,105,-43.43,-5.7698,-3.2532,2.5166,5.7698,3.2532,1.2583,0.3974,4.5115,-4.5115,8.0876
Niraparib,-12.35,PARP Inhibitor,DB12340,NC(=O)c1cccc(c1)[C@@H]1CCCN(Cc2ccc3ncccc3c2)C1,1282.846,3.713,-4.513,0.0106,5,2,96.52,4,42,9,41.208,0.273,101,-39.24,-5.5545,-3.2934,2.2611,5.5545,3.2934,1.1306,0.4423,4.4239,-4.4239,8.6556
Alpelisib,-13.073,PI3Kalpha Inhibitor,DB12001,CC(C)(C(=O)N)c1nc(nc(c1)-c1nc(NC(=O)N[C@@H](C)c2ccccc2)cs1)N1CCCC1,1417.01,3.846,-5.144,0.0034,9,4,163.43,7,42,9,53.046,0.375,109,-49.06,-5.8066,-3.261,2.5456,5.8066,3.261,1.2728,0.3928,4.5338,-4.5338,8.075
Ixabepilone,-8.716,Epothilone,DB04845,CC1CCCC(C)(C)[C@@H](O)CC(=O)N[C@H](C)[C@@H](O)[C@@H](C)/C(=C/c2nc(C)cs2)C1(C)C,1388.089,4.96,-5.812,0.0007,7,4,119.75,1,40,7,51.058,0.76,106,-42.38,-5.771,-3.2328,2.5383,5.771,3.2328,1.2691,0.394,4.5019,-4.5019,7.9846
Palbociclib,-13.177,CDK4/6 Inhibitor,DB09073,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,1384.943,2.966,-4.512,0.0138,10,3,142.34,5,43,9,50.996,0.458,108,-47.58,-5.7777,-3.2693,2.5084,5.7777,3.2693,1.2542,0.3987,4.5235,-4.5235,8.1576
Epirubicin,-12.316,Anthracycline,DB00445,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C(=O)CO)C[C@@H](O[C@H]5C[C@H](N)[C@@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12,1480.925,0.001,-3.108,0.4235,14,7,243.37,5,43,8,52.227,0.444,114,-52.45,-5.9295,-3.1725,2.757,5.9295,3.1725,1.3785,0.3627,4.551,-4.551,7.5122
Vinorelbine,-9.983,Vinca Alkaloid,DB00361,CCC1=C[C@@H]2C[C@@](C1)(c1c([nH]c3ccccc13)[C@@]1(CO2)C[C@H]2N(C)c3ccccc3[C@@]23C=CCN4CC[C@]13[C@H]4CC)C(=O)OC,1541.207,6.546,-7.756,0.0,7,2,95.1,3,47,9,70.475,0.513,120,-48.22,-5.512,-3.393,2.119,5.512,3.393,1.0595,0.4719,4.4525,-4.4525,9.3559
Fluorouracil,-8.276,Antimetabolite,DB00544,O=c1[nH]cc(F)c(=O)[nH]1,1067.478,-0.798,-0.637,29.9873,4,3,103.02,0,39,7,10.957,0.0,84,-28.82,-5.7701,-3.2137,2.5564,5.7701,3.2137,1.2782,0.3912,4.4919,-4.4919,7.8926
Lapatinib,-14.185,EGFR/HER2 Inhibitor,DB01259,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,1518.469,6.139,-7.084,0.0,10,3,143.65,11,43,11,61.095,0.172,115,-56.78,-5.7002,-3.5726,2.1276,5.7002,3.5726,1.0638,0.47,4.6364,-4.6364,10.1036
Buparlisib,-12.318,PI3K Inhibitor,DB12128,Cc1nc(nc(n1)N1CCOCC1)-c1ccc(F)c(N2CCOCC2)c1,1296.805,1.659,-3.257,0.1988,9,1,100.91,3,42,8,38.063,0.5,101,-40.6,-5.7398,-3.2629,2.4769,5.7398,3.2629,1.2385,0.4037,4.5014,-4.5014,8.1805
Pemetrexed,-11.948,Antifolate,DB00643,Nc1nc2[nH]c(CCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1,1364.817,0.666,-2.674,0.9057,8,7,228.56,9,41,9,43.896,0.25,106,-47.23,-5.8976,-3.2028,2.6948,5.8976,3.2028,1.3474,0.3711,4.5502,-4.5502,7.6829
Exatecan,-13.296,Topoisomerase I Inhibitor / DXd precursor,DB04982,CCC1(O)C(=O)OCc2c1cc1-c3nc4c(F)c(C)c(N)c(F)c4cc3Cn1c2=O,1350.78,2.248,-4.148,0.0294,8,3,144.74,1,43,9,41.063,0.286,105,-44.66,-5.7846,-3.2635,2.5211,5.7846,3.2635,1.2606,0.3967,4.524,-4.524,8.1181
Cediranib,-12.856,VEGFR/c-Kit Inhibitor,DB06436,COc1cc2ncnc(Nc3ccc4[nH]c(C)nc4c3F)c2cc1OCC1CCN(C)CC1,1387.918,4.426,-5.452,0.0016,9,3,125.49,6,43,10,49.898,0.375,108,-49.77,-5.6903,-3.4096,2.2807,5.6903,3.4096,1.1403,0.4385,4.5499,-4.5499,9.0772
SN-38,-12.379,Topoisomerase I Inhibitor / ADC Payload,DB05482,CCC1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O,1301.757,1.785,-3.596,0.0923,8,3,138.95,1,43,9,38.13,0.25,102,-42.63,-5.7725,-3.2586,2.5139,5.7725,3.2586,1.257,0.3978,4.5156,-4.5156,8.1109
Afatinib,-12.293,EGFR Inhibitor,DB08907,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,1423.347,4.39,-5.439,0.0018,9,3,125.91,8,42,9,51.693,0.292,109,-48.92,-5.7483,-3.2949,2.4534,5.7483,3.2949,1.2267,0.4076,4.5216,-4.5216,8.3332
