name,Docking_Score_kcal_mol,drug_class,drugbank_id,smiles,MW,LogP,LogS,WS_mg_mL,HBA,HBD,PSA,RBC,NOR,AromRings,Polarizability_alpha,Fraction_Csp3,HeavyAtoms,E_HOMO,E_LUMO,Gap_eV,IP_eV,EA_eV,Hardness_eta,Softness_S,Electronegativity_chi,Chemical_Potential_mu,Electrophilicity_omega
Idarubicin,-7.944,Anthracycline,DB00642,CC(=O)[C@@]1(O)Cc2c(O)c3C(=O)c4ccccc4C(=O)c3c(O)c2C[C@@H]1O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,497.5,0.5,-3.288,0.2562,10,5,176.61,3,5,2,49.124,0.423,36,-7.1604,-2.1645,4.9959,7.1604,2.1645,2.498,0.2002,4.6624,-4.6624,4.3512
Talazoparib,-7.891,PARP Inhibitor,DB11760,FC(F)(c1ccc(cc1)[C@H]1c2cc(F)ccc2N[C@@H]2C(=O)NN=C12)F,349.287,3.256,-4.346,0.0157,3,2,53.49,1,4,2,32.773,0.176,25,-6.0765,-2.8325,3.244,6.0765,2.8325,1.622,0.3083,4.4545,-4.4545,6.1167
Rucaparib,-6.157,PARP Inhibitor,DB12331,CNCc1ccc(-c2cc3[nH]c2CCNC(=O)c2cccc(F)c2-3)cc1,349.409,3.493,-4.493,0.0112,2,3,56.92,3,4,3,39.808,0.19,26,-5.933,-2.9377,2.9954,5.933,2.9377,1.4977,0.3338,4.4353,-4.4353,6.5675
Ribociclib,-7.705,CDK4/6 Inhibitor,DB09075,CN(C)C(=O)c1cnc(Nc2ccc(N3CCN(C)CC3)cn2)nc1N1CCCC1,410.526,1.669,-3.403,0.1624,8,1,80.73,5,4,2,47.063,0.524,30,-6.3491,-2.6628,3.6863,6.3491,2.6628,1.8432,0.2713,4.5059,-4.5059,5.5078
Niraparib,-7.659,PARP Inhibitor,DB12340,NC(=O)c1cccc(c1)[C@@H]1CCCN(Cc2ccc3ncccc3c2)C1,345.446,3.713,-4.513,0.0106,3,1,59.22,4,4,3,41.208,0.273,26,-5.9309,-2.9119,3.0191,5.9309,2.9119,1.5095,0.3312,4.4214,-4.4214,6.4751
Alpelisib,-8.009,PI3Kalpha Inhibitor,DB12001,CC(C)(C(=O)N)c1nc(nc(c1)-c1nc(NC(=O)N[C@@H](C)c2ccccc2)cs1)N1CCCC1,479.61,3.846,-5.144,0.0034,7,3,126.13,7,4,3,53.046,0.375,34,-6.5529,-2.714,3.8389,6.5529,2.714,1.9195,0.2605,4.6334,-4.6334,5.5923
Ixabepilone,-3.906,Epothilone,DB04845,CC1CCCC(C)(C)[C@@H](O)CC(=O)N[C@H](C)[C@@H](O)[C@@H](C)/C(=C/c2nc(C)cs2)C1(C)C,450.689,4.96,-5.812,0.0007,5,3,82.45,1,2,1,51.058,0.76,31,-6.3556,-2.5234,3.8322,6.3556,2.5234,1.9161,0.2609,4.4395,-4.4395,5.1429
Palbociclib,-8.169,CDK4/6 Inhibitor,DB09073,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,447.543,2.966,-4.512,0.0138,8,2,105.04,5,5,3,50.996,0.458,33,-6.3912,-2.7666,3.6246,6.3912,2.7666,1.8123,0.2759,4.5789,-4.5789,5.7845
Epirubicin,-7.123,Anthracycline,DB00445,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C(=O)CO)C[C@@H](O[C@H]5C[C@H](N)[C@@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12,543.525,0.001,-3.108,0.4235,12,6,206.07,5,5,2,52.227,0.444,39,-7.4385,-2.0437,5.3948,7.4385,2.0437,2.6974,0.1854,4.7411,-4.7411,4.1666
Vinorelbine,-4.951,Vinca Alkaloid,DB00361,CCC1=C[C@@H]2C[C@@](C1)(c1c([nH]c3ccccc13)[C@@]1(CO2)C[C@H]2N(C)c3ccccc3[C@@]23C=CCN4CC[C@]13[C@H]4CC)C(=O)OC,603.807,6.546,-7.756,0.0,5,1,57.8,3,9,3,70.475,0.513,45,-5.8787,-3.0621,2.8166,5.8787,3.0621,1.4083,0.355,4.4704,-4.4704,7.0952
Fluorouracil,-3.981,Antimetabolite,DB00544,O=c1[nH]cc(F)c(=O)[nH]1,130.078,-0.798,-0.637,29.9873,2,2,65.72,0,1,1,10.957,0.0,9,-6.3507,-2.3835,3.9672,6.3507,2.3835,1.9836,0.2521,4.3671,-4.3671,4.8072
Lapatinib,-8.827,EGFR/HER2 Inhibitor,DB01259,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,581.069,6.139,-7.084,0.0,8,2,106.35,11,5,5,61.095,0.172,40,-6.1123,-3.2751,2.8372,6.1123,3.2751,1.4186,0.3525,4.6937,-4.6937,7.765
Buparlisib,-7.575,PI3K Inhibitor,DB12128,Cc1nc(nc(n1)N1CCOCC1)-c1ccc(F)c(N2CCOCC2)c1,359.405,1.659,-3.257,0.1988,7,0,63.61,3,4,2,38.063,0.5,26,-6.1974,-2.726,3.4714,6.1974,2.726,1.7357,0.2881,4.4617,-4.4617,5.7345
Pemetrexed,-6.953,Antifolate,DB00643,Nc1nc2[nH]c(CCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1,427.417,0.666,-2.674,0.9057,6,6,191.26,9,3,3,43.896,0.25,31,-7.1684,-2.299,4.8694,7.1684,2.299,2.4347,0.2054,4.7337,-4.7337,4.6018
Exatecan,-8.399,Topoisomerase I Inhibitor / DXd precursor,DB04982,CCC1(O)C(=O)OCc2c1cc1-c3nc4c(F)c(C)c(N)c(F)c4cc3Cn1c2=O,413.38,2.248,-4.148,0.0294,6,2,107.44,1,5,3,41.063,0.286,30,-6.4283,-2.7295,3.6988,6.4283,2.7295,1.8494,0.2704,4.5789,-4.5789,5.6684
Cediranib,-7.765,VEGFR/c-Kit Inhibitor,DB06436,COc1cc2ncnc(Nc3ccc4[nH]c(C)nc4c3F)c2cc1OCC1CCN(C)CC1,450.518,4.426,-5.452,0.0016,7,2,88.19,6,5,4,49.898,0.375,33,-6.0999,-3.082,3.0179,6.0999,3.082,1.509,0.3314,4.5909,-4.5909,6.9838
SN-38,-7.559,Topoisomerase I Inhibitor / ADC Payload,DB05482,CCC1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O,364.357,1.785,-3.596,0.0923,6,2,101.65,1,5,3,38.13,0.25,27,-6.3636,-2.6982,3.6654,6.3636,2.6982,1.8327,0.2728,4.5309,-4.5309,5.6008
Afatinib,-7.234,EGFR Inhibitor,DB08907,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,485.947,4.39,-5.439,0.0018,7,2,88.61,8,4,3,51.693,0.292,34,-6.2391,-2.9206,3.3185,6.2391,2.9206,1.6593,0.3013,4.5799,-4.5799,6.3206
