name,drugbank_id,canonical_smiles,inchikey,formula,molecular_weight,formal_charge,provenance_source
Cabazitaxel,DB08868,CO[C@@H]1C(=O)C2=C3C[C@@H](OC(=O)[C@@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@]3(O)C(C)(C)[C@@H]3C[C@H](OC(=O)c4ccccc4)[C@@]2(C)[C@]13C,SSOLFBONJNZEOJ-ZTOQWBKXSA-N,C40H49NO10,703.829,0,https://go.drugbank.com/drugs/DB08868
Eribulin,DB08871,C=C1C[C@@H]2O[C@@H]3C[C@@H]4O[C@H]5CC[C@@H]6O[C@H]7C[C@H]8O[C@@H]9C[C@@H]%10O[C@H]%11CC[C@@H](CN)O[C@H]%11C[C@@H]%10O[C@H]9C[C@@H]8O[C@H]7C[C@@H]6O[C@H]5C[C@@H]4O[C@H]3C[C@@H]2O1,LKYNOBLRABXPHB-OPQIOQHBSA-N,C37H53NO11,687.827,0,https://go.drugbank.com/drugs/DB08871
Doxorubicin,DB00997,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)[C@@H](O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1)C[C@](O)(C(=O)CO)C3,GJBHKUHWUROUTI-TZSSRYMLSA-N,C27H29NO11,543.525,0,https://go.drugbank.com/drugs/DB00997
Epirubicin,DB00445,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)[C@@H](O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1)C[C@](O)(C(=O)CO)C3,GJBHKUHWUROUTI-VTZDEGQISA-N,C27H29NO11,543.525,0,https://go.drugbank.com/drugs/DB00445
Etoposide,DB00773,COc1cc([C@H]2[C]3C(=O)OC[C@@H]3[C@H](O[C@@H]3O[C@H]4COC(C)O[C@H]4[C@H]3O)c3cc4c(cc32)OCO4)cc(OC)c1O,RKGBELFHWCGTPU-KNOJXJFRSA-N,C28H29O12,557.528,0,https://go.drugbank.com/drugs/DB00773
SN-38,DB_SN38,CCc1c2c(nc3cc(O)ccc13)-c1cc3ccc(O)cc3c(=O)n1C2,FNRMRKBWURLLFO-UHFFFAOYSA-N,C21H16N2O3,344.37,0,PubChem/Literature
Exatecan,DB12702,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1cc(F)c1c2CCCN1,DNONKKXHUOARMN-FQEVSTJZSA-N,C20H19FN2O4,370.38,0,https://go.drugbank.com/drugs/DB12702
Topotecan,DB01030,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1cc(CN(C)C)c1cc(O)ccc21,YBXNUXVBHTZAJT-UHFFFAOYSA-N,C24H24N2O5,420.465,0,https://go.drugbank.com/drugs/DB01030
Alpelisib,DB12349,Cc1sc(NC(=O)N2CCC[C@H]2C)nc1-c1ccc(C(C)(C)C#N)cn1,WAKBDRDUPKKRSY-GFCCVEGCSA-N,C19H23N5OS,369.494,0,https://go.drugbank.com/drugs/DB12349
Abemaciclib,DB12001,CCN1CCN(Cc2ccc(Nc3ncc(F)c(Nc4ccc(C#N)c(C(C)C)n4)n3)nc2)CC1,FOYWUVLOOJKVSO-UHFFFAOYSA-N,C25H30FN9,475.576,0,https://go.drugbank.com/drugs/DB12001
Palbociclib,DB09073,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,VLZDGDXNRBWONV-UHFFFAOYSA-N,C23H29N7O,419.533,0,https://go.drugbank.com/drugs/DB09073
Ribociclib,DB11730,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,RHXHGRAEPCAFML-UHFFFAOYSA-N,C23H30N8O,434.548,0,https://go.drugbank.com/drugs/DB11730
Capivasertib,DB12154,NC[C@H](c1ccc(Cl)cc1)c1c[nH]c2nccc(-c3ccc(C4CC4)cc3)c12,UFCKRRCVSWEMHV-OAQYLSRUSA-N,C24H22ClN3,387.914,0,https://go.drugbank.com/drugs/DB12154
Ipatasertib,DB12534,NC[C@H](c1ccc(Cl)cc1)c1c[nH]c2nccc(-c3ccc(OCC(F)(F)F)cc3)c12,SHVWDMYSTWNOJD-LJQANCHMSA-N,C23H19ClF3N3O,445.872,0,https://go.drugbank.com/drugs/DB12534
Cobimetinib,DB09565,OC1(c2c(F)c(F)c(F)c(Nc3c(F)cccc3I)c2F)CN(Cc2cc(F)ccc2I)CCO1,BIFPHVKBRULUON-UHFFFAOYSA-N,C23H16F6I2N2O2,720.189,0,https://go.drugbank.com/drugs/DB09565
Trametinib,DB08911,Cc1c(-c2ccccc2F)c(=O)n(-c2ccccc2NC(=O)C2CC2)c(=O)n1-c1ccc(I)cc1F,AZZZPQNYKQUESW-UHFFFAOYSA-N,C27H20F2IN3O3,599.375,0,https://go.drugbank.com/drugs/DB08911
Selumetinib,DB11928,NC(=O)c1c(OCC(O)CO)cc(F)c(Nc2ccc(I)cc2F)c1Cl,XRHNNZIEZXBMGX-UHFFFAOYSA-N,C16H14ClF2IN2O4,498.651,0,https://go.drugbank.com/drugs/DB11928
Everolimus,DB01590,COCCOC1CC2CCC(C)C(O)(C1)C(=O)C(=O)N1CCCCC1C(=O)OC(CC=CC=CC=C(C)CC(C)CC(OC)C(C)=O)C(C)(OC)CC2,FYUSUGKVSXMKFB-UHFFFAOYSA-N,C42H67NO10,745.995,0,https://go.drugbank.com/drugs/DB01590
Erlotinib,DB00530,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,AAKJLRGGTJKAMG-UHFFFAOYSA-N,C22H23N3O4,393.443,0,https://go.drugbank.com/drugs/DB00530
Lapatinib,DB01259,CS(=O)(=O)CCNCc1ccc(C2=CC=C(Nc3ccc(OCc4cccc(F)c4Cl)c(Cl)c3)N=CN=C2)o1,RHVVCXJGIRJUMV-UHFFFAOYSA-N,C27H25Cl2FN4O4S,591.492,0,https://go.drugbank.com/drugs/DB01259
Gefitinib,DB00317,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,XGALLCVXEZPNRQ-UHFFFAOYSA-N,C22H24ClFN4O3,446.91,0,https://go.drugbank.com/drugs/DB00317
Osimertinib,DB09330,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,DUYJMQONPNNFPI-UHFFFAOYSA-N,C28H33N7O2,499.619,0,https://go.drugbank.com/drugs/DB09330
