name,drug_class,smiles,formal_charge,E_HOMO_eV,E_LUMO_eV,Gap_eV,Eta_eV,Mu_eV,Omega_eV,MolMR,MolWt,E_drug_Eh,vina_parp1_4UND_kcal_mol,delta_Eint_B36N36_kcal_mol
Alpelisib,PI3Kalpha Inhibitor,CC(C)(C#N)c1ccc(nc1)-c1nc(NC(=O)N2CCC[C@H]2C)sc1C,0,-10.0087,-7.1497,2.859,1.4295,-8.5792,25.7442,103.142,369.49,-74.373673,-8.73,-0.718
Abemaciclib,CDK4/6 Inhibitor,CCN1CCN(Cc2ccc(Nc3ncc(F)c(Nc4ccc(C#N)c(C(C)C)n4)n3)nc2)CC1,0,-9.307,-7.8103,1.4967,0.7484,-8.5587,48.9413,133.224,475.58,-99.87498,-9.79,-0.743
Palbociclib,CDK4/6 Inhibitor,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,0,-9.541,-7.6559,1.8851,0.9426,-8.5984,39.2199,122.377,419.53,-88.630086,-9.69,-0.945
Ribociclib,CDK4/6 Inhibitor,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,0,-9.3718,-7.3547,2.0171,1.0086,-8.3633,34.6755,125.653,434.55,-92.093477,-8.96,-0.416
Capivasertib,AKT Inhibitor,NC[C@H](c1ccc(Cl)cc1)c1c[nH]c2nccc(-c3ccc(C4CC4)cc3)c12,0,-10.0315,-7.0473,2.9842,1.4921,-8.5394,24.4358,115.854,387.91,-75.906069,-9.18,-2.279
Ipatasertib,AKT Inhibitor,NC[C@H](c1ccc(Cl)cc1)c1c[nH]c2nccc(-c3ccc(OCC(F)(F)F)cc3)c12,0,-10.1518,-7.1821,2.9697,1.4848,-8.6669,25.2941,115.429,445.87,-90.524812,-9.45,-1.787
Cobimetinib,MEK Inhibitor,OC1(CN(Cc2cc(F)ccc2I)CCO1)c1c(F)c(F)c(F)c(Nc2c(F)cccc2I)c1F,0,-10.2701,-7.6666,2.6035,1.3017,-8.9683,30.8935,132.917,720.19,-107.39093,-10.72,-0.484
Trametinib,MEK Inhibitor,CC1=C(C(=O)N(C(=O)N1c1ccc(I)cc1F)c1ccccc1NC(=O)C2CC2)c1c(F)cccc1,0,-10.3847,-8.0178,2.3669,1.1835,-9.2012,35.7696,141.796,599.38,-102.290266,-9.72,-1.042
Selumetinib,MEK Inhibitor,NC(=O)c1c(Cl)c(Nc2ccc(I)cc2F)c(F)cc1OCC(O)CO,0,-10.4699,-7.707,2.7629,1.3815,-9.0884,29.8961,100.915,498.65,-81.32807,-8.19,-1.611
Everolimus,mTOR Inhibitor,COCCOC1CC2CCC(C)C(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)(OC)CC2)CC=CC=CC=C(C)CC(C)CC(OC)C(=O)C)C1,0,-9.9224,-8.204,1.7184,0.8592,-9.0632,47.8012,203.105,746.0,-167.592826,-5.78,-1.682
Erlotinib,EGFR TKI,COCCOc1cc2ncnc(Nc3cccc(C#C)c3)c2cc1OCCOC,0,-9.8137,-7.6972,2.1165,1.0583,-8.7554,36.2192,111.94,393.44,-83.791898,-8.85,-2.18
Lapatinib,Dual EGFR/HER2 TKI,CS(=O)(=O)CCNCc1ccc(-c2ccc(Nc3ccc(OCc4cccc(F)c4Cl)c(Cl)c3)ncnc2)o1,0,-9.5479,-8.136,1.4119,0.706,-8.842,55.3723,153.986,591.49,-115.501562,-6.8,-1.327
Gefitinib,EGFR TKI,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0,-9.6325,-7.9153,1.7172,0.8586,-8.7739,44.8296,118.154,446.91,-92.542702,-8.97,-2.339
Osimertinib,EGFR TKI,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,0,-9.145,-6.7677,2.3773,1.1886,-7.9563,26.6283,150.872,499.62,-105.4042,-10.31,0.074
