name,drug_class,drugbank_id,smiles,MW,LogP,LogS,WS_mg_mL,HBA,HBD,PSA,RBC,NOR,AromRings,Polarizability_alpha,Fraction_Csp3,HeavyAtoms
Gemcitabine,Antimetabolite,DB00441,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,263.2,-1.289,-0.775,44.2178,6,3,110.6,2,2,1,21.746,0.556,18
Capecitabine,Antimetabolite,DB01101,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,359.354,0.76,-2.329,1.6866,7,3,122.91,6,2,1,33.515,0.667,25
Fluorouracil,Antimetabolite,DB00544,O=c1[nH]cc(F)c(=O)[nH]1,130.078,-0.798,-0.637,29.9873,2,2,65.72,0,1,1,10.957,0.0,9
Methotrexate,Antifolate,DB00563,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,454.447,0.268,-2.591,1.1642,10,5,210.54,9,3,3,46.879,0.25,33
Pemetrexed,Antifolate,DB00643,Nc1nc2[nH]c(CCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1,427.417,0.666,-2.674,0.9057,6,6,191.26,9,3,3,43.896,0.25,31
Cytarabine,Antimetabolite,DB00503,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,243.219,-2.563,0.138,333.8514,7,4,130.83,2,2,1,22.166,0.556,17
Paclitaxel,Taxane,DB01204,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OCC3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,853.918,3.736,-7.043,0.0001,14,4,221.29,10,7,3,86.292,0.447,62
Docetaxel,Taxane,DB01248,CC(C)(C)OC(=O)N[C@@H](c1ccccc1)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@H](OC(=O)c3ccccc3)[C@H]3[C@]4(OC(C)=O)CO[C@@]4(C[C@@H](O)[C@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C)OC(=O)C,865.926,3.15,-6.743,0.0002,16,5,250.75,9,6,2,84.954,0.556,62
Cabazitaxel,Taxane,DB08868,CC(C)(C)OC(=O)N[C@@H](c1ccccc1)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@H](OC(=O)c3ccccc3)[C@H]3[C@]4(OC(C)=O)CO[C@@]4(C[C@@H](OC)[C@]3(C)C(=O)[C@H](OC)C(=C1C)C2(C)C)OC(=O)C,893.98,4.459,-7.604,0.0,16,3,228.75,11,6,2,88.752,0.574,64
Vinorelbine,Vinca Alkaloid,DB00361,CCC1=C[C@@H]2C[C@@](C1)(c1c([nH]c3ccccc13)[C@@]1(CO2)C[C@H]2N(C)c3ccccc3[C@@]23C=CCN4CC[C@]13[C@H]4CC)C(=O)OC,603.807,6.546,-7.756,0.0,5,1,57.8,3,9,3,70.475,0.513,45
Vinblastine,Vinca Alkaloid,DB00570,CCC1(O)C[C@@H]2C[C@@](C1)(c1c([nH]c3ccccc13)[C@]3(O)C[C@H]2N(C)c1ccccc1[C@]34C=CCN1CC[C@@]41CC)C(=O)OC,595.784,5.292,-6.922,0.0001,6,3,89.03,3,8,3,68.082,0.541,44
Ixabepilone,Epothilone,DB04845,CC1CCCC(C)(C)[C@@H](O)CC(=O)N[C@H](C)[C@@H](O)[C@@H](C)/C(=C/c2nc(C)cs2)C1(C)C,450.689,4.96,-5.812,0.0007,5,3,82.45,1,2,1,51.058,0.76,31
Eribulin,Halichondrin B Analog,DB08871,C=C1[C@H]2C[C@H]3O[C@]4(O[C@H]5C[C@@H]6O[C@]7(C[C@H]8O[C@@H]9[C@H](C)C(=C)C[C@@]9(O[C@@H]8C[C@H]7C5)C6)[C@H]4CC[C@@H]3O2)C[C@@H]1O,512.643,3.574,-5.27,0.0028,7,1,75.61,0,11,0,52.169,0.867,37
Lapatinib,EGFR/HER2 Inhibitor,DB01259,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,581.069,6.139,-7.084,0.0,8,2,106.35,11,5,5,61.095,0.172,40
Gefitinib,EGFR Inhibitor,DB00317,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,446.91,4.276,-5.158,0.0031,7,1,68.74,8,4,3,46.836,0.364,31
Erlotinib,EGFR Inhibitor,DB00530,COCCOc1cc2ncnc(Nc3cccc(C#C)c3)c2cc1OCCOC,393.443,3.405,-4.173,0.0264,7,1,74.73,10,3,3,44.373,0.273,29
Afatinib,EGFR Inhibitor,DB08907,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,485.947,4.39,-5.439,0.0018,7,2,88.61,8,4,3,51.693,0.292,34
Bemcentinib,AXL Kinase Inhibitor,DB12411,Cc1ccc(cc1)N1CCN(CC1)c1nc2ccccc2c(Nc2ccc(cc2)c2ccccc2)n1,471.608,6.675,-7.215,0.0,5,1,44.29,5,6,5,59.58,0.161,36
Capivasertib,AKT Inhibitor,DB15259,CN1CCN(c2nc(C3CC3)c3c(N)ncnc3n2)CC1.Clc1ccc(C2CCNCC2)cc1,481.048,3.438,-5.139,0.0035,8,2,96.09,3,6,3,54.514,0.52,34
Alpelisib,PI3Kalpha Inhibitor,DB12001,CC(C)(C(=O)N)c1nc(nc(c1)-c1nc(NC(=O)N[C@@H](C)c2ccccc2)cs1)N1CCCC1,479.61,3.846,-5.144,0.0034,7,3,126.13,7,4,3,53.046,0.375,34
Palbociclib,CDK4/6 Inhibitor,DB09073,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,447.543,2.966,-4.512,0.0138,8,2,105.04,5,5,3,50.996,0.458,33
Ribociclib,CDK4/6 Inhibitor,DB09075,CN(C)C(=O)c1cnc(Nc2ccc(N3CCN(C)CC3)cn2)nc1N1CCCC1,410.526,1.669,-3.403,0.1624,8,1,80.73,5,4,2,47.063,0.524,30
Abemaciclib,CDK4/6 Inhibitor,DB12001,CCN1CCN(Cc2ccc(Nc3ncc(F)c(Nc4ccc5c(c4)n(C(C)C)c(=O)n5C)n3)cn2)CC1,519.629,3.87,-5.381,0.0022,8,2,96.14,8,5,4,58.567,0.407,38
Exatecan,Topoisomerase I Inhibitor / DXd precursor,DB04982,CCC1(O)C(=O)OCc2c1cc1-c3nc4c(F)c(C)c(N)c(F)c4cc3Cn1c2=O,413.38,2.248,-4.148,0.0294,6,2,107.44,1,5,3,41.063,0.286,30
Monomethyl auristatin E,Tubulin Inhibitor / ADC Payload (MMAE),DB06161,CCC(C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N1CCC[C@H]1[C@@H](OC)[C@@H](C)C(=O)N[C@H](CO)c1ccccc1,802.071,2.184,-4.748,0.0143,9,7,207.3,23,2,1,86.967,0.714,57
